id,name,image,party,party_id,area,term,source
324,Rui Alberto de Figueiredo Soares,http://www.parlamento.cv/DepImag.aspx?CodDeputado=324,MPD,MPD,São Vicente,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=324
363,Rui Mendes Semedo,http://www.parlamento.cv/DepImag.aspx?CodDeputado=363,PAICV,PAICV,Santiago Sul,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=363
345,Vera Helena Pires Almeida da Cruz,http://www.parlamento.cv/DepImag.aspx?CodDeputado=345,PAICV,PAICV,Santo Antão,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=345
346,Walter Emanuel da Silva Évora,http://www.parlamento.cv/DepImag.aspx?CodDeputado=346,PAICV,PAICV,Boa Vista,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=346
204,Basílio Mosso Ramos,http://www.parlamento.cv/DepImag.aspx?CodDeputado=204,PAICV,PAICV,Sal,8,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=204
205,António Delgado Monteiro,http://www.parlamento.cv/DepImag.aspx?CodDeputado=205,UCID,UCID,São Vicente,8,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=205
206,João dos Santos Luís,http://www.parlamento.cv/DepImag.aspx?CodDeputado=206,UCID,UCID,São Vicente,8,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=206
208,Nilda Maria Gonçalves de Pina Fernandes,http://www.parlamento.cv/DepImag.aspx?CodDeputado=208,PAICV,PAICV,Santiago Sul,8,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=208
209,Clóvis Isildo Barbosa da Silva,http://www.parlamento.cv/DepImag.aspx?CodDeputado=209,PAICV,PAICV,Brava,8,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=209
210,José Luís Lima Santos,http://www.parlamento.cv/DepImag.aspx?CodDeputado=210,MPD,MPD,Boa Vista,8,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=210
211,Lívio Fernandes Lopes,http://www.parlamento.cv/DepImag.aspx?CodDeputado=211,PAICV,PAICV,Fogo,8,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=211
212,Emanuel Alberto Duarte Barbosa,http://www.parlamento.cv/DepImag.aspx?CodDeputado=212,MPD,MPD,Europa,8,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=212
213,Euclides Eurico Nunes Pina,http://www.parlamento.cv/DepImag.aspx?CodDeputado=213,PAICV,PAICV,Santiago Sul,8,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=213
