name,twitter,area,source,id
Jay Aspin,@JayAspin,Nipissing—Timiskam,http://politwitter.ca/user/JayAspin,@JayAspin
Jean Crowder,@JeanCrowder,Nanaimo—Cowichan,http://politwitter.ca/user/JeanCrowder,@JeanCrowder
Jim Flaherty,@JimFlaherty,Whitby—Oshawa,http://politwitter.ca/user/JimFlaherty,@JimFlaherty
Joe Preston,@Joe_Preston,Elgin—Middlesex—,http://politwitter.ca/user/Joe_Preston,@Joe_Preston
John Carmichael,@JohnBCarmichael,Don Valley West,http://politwitter.ca/user/JohnBCarmichael,@JohnBCarmichael
John Baird,@JohnBairdOWN,Ottawa West—Nepean,http://politwitter.ca/user/JohnBairdOWN,@JohnBairdOWN
John Duncan,@JohnDuncanMP,Vancouver Island Nor,http://politwitter.ca/user/JohnDuncanMP,@JohnDuncanMP
John McCallum,@JohnMcCallumMP,Markham—Unionville,http://politwitter.ca/user/JohnMcCallumMP,@JohnMcCallumMP
John Mckay,@JohnMcKayLib,Saint-Hyacinthe—Ba,http://politwitter.ca/user/JohnMcKayLib,@JohnMcKayLib
John Rafferty,@JohnRaffertyMP,Thunder Bay—Rainy ,http://politwitter.ca/user/JohnRaffertyMP,@JohnRaffertyMP
Jonathan Tremblay,@Jonathan_tremb,Montmorency—Charle,http://politwitter.ca/user/Jonathan_tremb,@Jonathan_tremb
Joyce Bateman,@Joyce_Bateman,Winnipeg South,http://politwitter.ca/user/Joyce_Bateman,@Joyce_Bateman
Judy Foote,@JudyFoote,Random—Burin—St.,http://politwitter.ca/user/JudyFoote,@JudyFoote
Judy Sgro,@JudySgro,York West,http://politwitter.ca/user/JudySgro,@JudySgro
Julian Fantino,@JulianFantino,Vaughan,http://politwitter.ca/user/JulianFantino,@JulianFantino
Justin Trudeau,@JustinTrudeau,Papineau,http://politwitter.ca/user/JustinTrudeau,@JustinTrudeau
Kerry-Lynne Findlay,@KLDF2011,Delta—Richmond Eas,http://politwitter.ca/user/KLDF2011,@KLDF2011
Keith Ashfield,@KeithAshfield11,Fredericton,http://politwitter.ca/user/KeithAshfield11,@KeithAshfield11
Kellie Leitch,@KellieLeitch,Simcoe—Grey,http://politwitter.ca/user/KellieLeitch,@KellieLeitch
Kelly Block,@KellyBlockcpc,Nunavut,http://politwitter.ca/user/KellyBlockcpc,@KellyBlockcpc
Peter Kent,@KentThornhillMP,Thornhill,http://politwitter.ca/user/KentThornhillMP,@KentThornhillMP
Kevin Lamoureux,@Kevin_Lamoureux,Winnipeg North,http://politwitter.ca/user/Kevin_Lamoureux,@Kevin_Lamoureux
Kirsty Duncan,@KirstyDuncanMP,Etobicoke North,http://politwitter.ca/user/KirstyDuncanMP,@KirstyDuncanMP
